loan_id,customer_id,loan_type,city,employment_type,loan_amount,interest_rate,tenure_years,monthly_emi,monthly_income,emi_to_income_ratio,credit_score,loan_status,disbursal_date,amount_recovered,disbursal_year,disbursal_quarter,credit_category,emi_burden_category,is_defaulted,ltv_approx
LOAN100000,CUST200000,Home Loan,Surat,Freelancer,613000,7.99,20,5124,31810,16.1,793,Defaulted,2023-08-23,0,2023,2023Q3,Excellent,Low Burden,1,80
LOAN100001,CUST200001,Auto Loan,Ahmedabad,Freelancer,1252000,9.69,3,40217,125591,32,804,Active,2020-03-29,0,2020,2020Q1,Excellent,Moderate Burden,0,80
LOAN100002,CUST200002,Home Loan,Pune,Self-Employed,2984000,9.27,30,24592,459945,5.3,721,Active,2022-01-17,0,2022,2022Q1,Good,Low Burden,0,80
LOAN100003,CUST200003,Auto Loan,Mumbai,Self-Employed,472000,8.29,5,9636,58490,16.5,825,Active,2020-04-24,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN100004,CUST200004,Auto Loan,Ahmedabad,Freelancer,722000,11.51,3,23812,76582,31.1,840,Active,2021-06-22,0,2021,2021Q2,Excellent,Moderate Burden,0,80
LOAN100005,CUST200005,Auto Loan,Delhi,Salaried,485000,8.19,3,15241,314486,4.8,785,Active,2023-02-07,0,2023,2023Q1,Excellent,Low Burden,0,80
LOAN100006,CUST200006,Business Loan,Kolkata,Self-Employed,2302000,15.26,7,44758,101438,44.1,663,Defaulted,2022-02-04,482041,2022,2022Q1,Fair,High Burden,1,80
LOAN100007,CUST200007,Business Loan,Bangalore,Self-Employed,2772000,14.84,7,53242,223627,23.8,858,Active,2022-12-26,0,2022,2022Q4,Excellent,Low Burden,0,80
LOAN100008,CUST200008,Education Loan,Hyderabad,Salaried,1899000,8.64,7,30207,117406,25.7,762,Closed,2022-07-13,0,2022,2022Q3,Excellent,Moderate Burden,0,80
LOAN100009,CUST200009,Personal Loan,Surat,Self-Employed,79000,12.61,1,7042,76217,9.2,721,Closed,2021-03-14,0,2021,2021Q1,Good,Low Burden,0,80
LOAN100010,CUST200010,Business Loan,Hyderabad,Self-Employed,1523000,12.54,10,22329,29340,76.1,331,Defaulted,2020-08-11,436517,2020,2020Q3,Very Poor,Critical Burden,1,80
LOAN100011,CUST200011,Personal Loan,Hyderabad,Freelancer,291000,12.95,2,13828,37227,37.1,523,NPA,2020-12-06,164934,2020,2020Q4,Very Poor,Moderate Burden,1,80
LOAN100012,CUST200012,Education Loan,Surat,Salaried,1815000,10.35,7,30460,366730,8.3,689,Active,2021-03-21,0,2021,2021Q1,Fair,Low Burden,0,80
LOAN100013,CUST200013,Business Loan,Surat,Self-Employed,371000,10.94,7,6341,43204,14.7,753,Active,2023-03-12,0,2023,2023Q1,Excellent,Low Burden,0,80
LOAN100014,CUST200014,Business Loan,Jaipur,Salaried,311000,11.23,3,10216,127494,8,767,Active,2020-05-28,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN100015,CUST200015,Business Loan,Delhi,Business Owner,2996000,15.29,3,104283,98930,105.4,570,Active,2023-02-09,0,2023,2023Q1,Very Poor,Critical Burden,0,80
LOAN100016,CUST200016,Personal Loan,Pune,Salaried,169000,12.09,1,15023,33750,44.5,523,Defaulted,2020-03-31,93988,2020,2020Q1,Very Poor,High Burden,1,80
LOAN100017,CUST200017,Personal Loan,Mumbai,Self-Employed,337000,14.09,3,11533,97887,11.8,799,Active,2022-05-30,0,2022,2022Q2,Excellent,Low Burden,0,80
LOAN100018,CUST200018,Auto Loan,Bangalore,Salaried,674000,9,3,21433,56255,38.1,541,NPA,2022-04-24,367953,2022,2022Q2,Very Poor,Moderate Burden,1,80
LOAN100019,CUST200019,Auto Loan,Mumbai,Self-Employed,1217000,11.24,5,26606,266730,10,739,Active,2021-04-11,0,2021,2021Q2,Good,Low Burden,0,80
LOAN100020,CUST200020,Personal Loan,Delhi,Salaried,229000,17.77,3,8253,192708,4.3,695,Active,2021-06-27,0,2021,2021Q2,Fair,Low Burden,0,80
LOAN100021,CUST200021,Business Loan,Surat,Business Owner,1417000,11.14,7,24367,57442,42.4,593,Active,2023-09-22,0,2023,2023Q3,Very Poor,High Burden,0,80
LOAN100022,CUST200022,Auto Loan,Chennai,Business Owner,1062000,9.24,3,33890,45092,75.2,591,Defaulted,2020-01-01,426250,2020,2020Q1,Very Poor,Critical Burden,1,80
LOAN100023,CUST200023,Personal Loan,Hyderabad,Business Owner,243000,14.1,3,8317,90175,9.2,673,Closed,2021-04-26,0,2021,2021Q2,Fair,Low Burden,0,80
LOAN100024,CUST200024,Personal Loan,Ahmedabad,Salaried,116000,14.33,1,10433,47777,21.8,687,Closed,2020-01-12,0,2020,2020Q1,Fair,Low Burden,0,80
LOAN100025,CUST200025,Personal Loan,Kolkata,Freelancer,129000,12.74,5,2918,485012,0.6,806,Closed,2022-10-30,0,2022,2022Q4,Excellent,Low Burden,0,80
LOAN100026,CUST200026,Education Loan,Bangalore,Salaried,1805000,8.83,15,18125,49570,36.6,569,Active,2023-01-11,0,2023,2023Q1,Very Poor,Moderate Burden,0,80
LOAN100027,CUST200027,Personal Loan,Pune,Freelancer,154000,11.45,2,7210,24137,29.9,869,Closed,2023-03-25,0,2023,2023Q1,Excellent,Moderate Burden,0,80
LOAN100028,CUST200028,Auto Loan,Surat,Self-Employed,1180000,11.2,5,25774,400662,6.4,835,Active,2022-08-15,0,2022,2022Q3,Excellent,Low Burden,0,80
LOAN100029,CUST200029,Business Loan,Delhi,Freelancer,276000,15.2,10,4487,119282,3.8,844,Defaulted,2021-07-23,0,2021,2021Q3,Excellent,Low Burden,1,80
LOAN100030,CUST200030,Education Loan,Surat,Salaried,137000,10.34,5,2934,77984,3.8,711,Active,2023-10-03,0,2023,2023Q4,Good,Low Burden,0,80
LOAN100031,CUST200031,Personal Loan,Hyderabad,Freelancer,259000,12.17,3,8624,92972,9.3,797,Closed,2022-02-07,0,2022,2022Q1,Excellent,Low Burden,0,80
LOAN100032,CUST200032,Home Loan,Ahmedabad,Salaried,3164000,7.7,15,29691,121664,24.4,667,Active,2021-11-29,0,2021,2021Q4,Fair,Low Burden,0,80
LOAN100033,CUST200033,Education Loan,Pune,Business Owner,301000,9.31,10,3864,361452,1.1,769,Active,2023-04-28,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN100034,CUST200034,Personal Loan,Kolkata,Business Owner,424000,14.16,1,38102,119002,32,854,Active,2021-07-26,0,2021,2021Q3,Excellent,Moderate Burden,0,80
LOAN100036,CUST200036,Business Loan,Surat,Business Owner,1687000,11.84,10,24048,68851,34.9,699,Active,2022-09-18,0,2022,2022Q3,Fair,Moderate Burden,0,80
LOAN100037,CUST200037,Business Loan,Jaipur,Business Owner,1871000,14.25,3,64174,41821,153.4,551,Active,2020-01-26,0,2020,2020Q1,Very Poor,Critical Burden,0,80
LOAN100038,CUST200038,Education Loan,Kolkata,Self-Employed,937000,8.34,7,14764,162374,9.1,671,NPA,2022-05-02,154744,2022,2022Q2,Fair,Low Burden,1,80
LOAN100040,CUST200040,Home Loan,Chennai,Self-Employed,1204000,8.4,25,9614,58161,16.5,758,Active,2021-04-05,0,2021,2021Q2,Excellent,Low Burden,0,80
LOAN100041,CUST200041,Personal Loan,Surat,Freelancer,82000,15.17,2,3983,281674,1.4,762,Active,2020-03-22,0,2020,2020Q1,Excellent,Low Burden,0,80
LOAN100042,CUST200042,Auto Loan,Surat,Self-Employed,234000,10.3,3,7584,426881,1.8,782,Closed,2021-07-23,0,2021,2021Q3,Excellent,Low Burden,0,80
LOAN100043,CUST200043,Education Loan,Chennai,Freelancer,1306000,8.96,15,13215,398775,3.3,858,Defaulted,2020-03-16,0,2020,2020Q1,Excellent,Low Burden,1,80
LOAN100044,CUST200044,Auto Loan,Chennai,Self-Employed,351000,8,5,7117,349548,2,844,Active,2021-06-30,0,2021,2021Q2,Excellent,Low Burden,0,80
LOAN100045,CUST200045,Education Loan,Chennai,Freelancer,1774000,8.72,15,17699,31017,57.1,536,NPA,2020-11-11,809370,2020,2020Q4,Very Poor,Critical Burden,1,80
LOAN100046,CUST200046,Business Loan,Kolkata,Business Owner,2175000,12.3,10,31583,185519,17,847,Closed,2022-04-29,0,2022,2022Q2,Excellent,Low Burden,0,80
LOAN100047,CUST200047,Auto Loan,Surat,Self-Employed,1267000,10.32,5,27120,428862,6.3,766,Defaulted,2023-11-29,732682,2023,2023Q4,Excellent,Low Burden,1,80
LOAN100048,CUST200048,Education Loan,Delhi,Business Owner,544000,10.43,15,5990,33274,18,682,Active,2023-04-23,0,2023,2023Q2,Fair,Low Burden,0,80
LOAN100049,CUST200049,Education Loan,Jaipur,Freelancer,289000,10.91,15,3268,35631,9.2,868,Active,2023-10-13,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN100050,CUST200050,Business Loan,Pune,Salaried,301000,10.54,3,9789,70415,13.9,827,Active,2020-02-29,0,2020,2020Q1,Excellent,Low Burden,0,80
LOAN100051,CUST200051,Home Loan,Jaipur,Freelancer,1820000,8.36,20,15633,404940,3.9,883,Active,2021-04-20,0,2021,2021Q2,Excellent,Low Burden,0,80
